what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383732483171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383732483171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383732483281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383732515062
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1383732520437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1383732527531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1383732527890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383732529000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383732529000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383732529109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383732553093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1383732563625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1383732563859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383732568468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383732568468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383732568609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383732584578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383732586828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383732704750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383732705968
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383734217921
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1383734218375
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1383734218375
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1383734218375
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1383734218375
